數字代碼,主要電頻,語言,三位代碼,中文名稱
0,0,3,null,null
1,0,3,null,null
2,0,3,null,null
3,0,3,null,null
4,50,3,AFG,?阿富汗
5,0,3,null,null
6,0,3,null,null
7,0,3,null,null
8,0,3,ALB,?阿爾巴尼亞
9,0,3,null,null
10,0,3,ATA,?南極洲
11,0,3,null,null
12,0,3,DZA,?阿爾及利亞
13,0,3,null,null
14,0,3,null,null
15,0,3,null,null
16,0,3,ASM,?美屬薩摩亞
17,0,3,null,null
18,0,3,null,null
19,0,3,null,null
20,0,3,AND,?安道爾
21,0,3,null,null
22,0,3,null,null
23,0,3,null,null
24,0,3,AGO,?安哥拉
25,0,3,null,null
26,0,3,null,null
27,0,3,null,null
28,0,3,ATG,?安地卡及巴布達
29,0,3,null,null
30,0,3,null,null
31,0,3,AZE,?亞塞拜然
32,50,3,ARG,?阿根廷
33,0,3,null,null
34,0,3,null,null
35,0,3,null,null
36,50,3,AUS,?澳大利亞
37,0,3,null,null
38,0,3,null,null
39,0,3,null,null
40,50,3,AUT,?奧地利
41,0,3,null,null
42,0,3,null,null
43,0,3,null,null
44,0,3,BHS,?巴哈馬
45,0,3,null,null
46,0,3,null,null
47,0,3,null,null
48,50,3,BHR,?巴林
49,0,3,null,null
50,0,3,BGD,孟加拉
51,0,3,ARM,?亞美尼亞
52,0,3,BRB,?巴貝多
53,0,3,null,null
54,0,3,null,null
55,0,3,null,null
56,50,3,BEL,?比利時
57,0,3,null,null
58,0,3,null,null
59,0,3,null,null
60,0,3,BMU,?百慕達
61,0,3,null,null
62,0,3,null,null
63,0,3,null,null
64,0,3,BTN,?不丹
65,0,3,null,null
66,0,3,null,null
67,0,3,null,null
68,60,3,BOL,?玻利維亞
69,0,3,null,null
70,0,3,BIH,?波士尼亞與赫塞哥維納
71,0,3,null,null
72,0,3,BWA,?波札那
73,0,3,null,null
74,0,3,BVT,?布韋島
75,0,3,null,null
76,50,3,BRA,?巴西
77,0,3,null,null
78,0,3,null,null
79,0,3,null,null
80,0,3,null,null
81,0,3,null,null
82,0,3,null,null
83,0,3,null,null
84,0,3,BLZ,?貝里斯
85,0,3,null,null
86,0,3,IOT,?英屬印度洋領地
87,0,3,null,null
88,0,3,null,null
89,0,3,null,null
90,0,3,SLB,?索羅門群島
91,0,3,null,null
92,0,3,VGB,?英屬維京群島
93,0,3,null,null
94,0,3,null,null
95,0,3,null,null
96,0,3,BRN,?汶萊
97,0,3,null,null
98,0,3,null,null
99,0,3,null,null
100,0,3,BGR,?保加利亞
101,0,3,null,null
102,0,3,null,null
103,0,3,null,null
104,0,3,MMR,?緬甸
105,0,3,null,null
106,0,3,null,null
107,0,3,null,null
108,0,3,BDI,?蒲隆地
109,0,3,null,null
110,0,3,null,null
111,0,3,null,null
112,50,3,BLR,?白俄羅斯
113,0,3,null,null
114,0,3,null,null
115,0,3,null,null
116,0,3,KHM,?柬埔寨
117,0,3,null,null
118,0,3,null,null
119,0,3,null,null
120,50,3,CMR,?喀麥隆
121,0,3,null,null
122,0,3,null,null
123,0,3,null,null
124,60,3,CAN,?加拿大
125,0,3,null,null
126,0,3,null,null
127,0,3,null,null
128,0,3,null,null
129,0,3,null,null
130,0,3,null,null
131,0,3,null,null
132,0,3,CPV,?維德角
133,0,3,null,null
134,0,3,null,null
135,0,3,null,null
136,0,3,CYM,?開曼群島
137,0,3,null,null
138,0,3,null,null
139,0,3,null,null
140,0,3,CAF,?中非
141,0,3,null,null
142,0,3,null,null
143,0,3,null,null
144,0,3,LKA,?斯里蘭卡
145,0,3,null,null
146,0,3,null,null
147,0,3,null,null
148,50,3,TCD,?查德
149,0,3,null,null
150,0,3,null,null
151,0,3,null,null
152,50,3,CHL,?智利
153,0,3,null,null
154,0,3,null,null
155,0,3,null,null
156,50,2,CHN,?中國
157,0,3,null,null
158,60,0,TWN,?中國台灣省
159,0,3,null,null
160,0,3,null,null
161,0,3,null,null
162,0,3,CXR,?聖誕島
163,0,3,null,null
164,0,3,null,null
165,0,3,null,null
166,0,3,CCK,?科科斯（基林）群島
167,0,3,null,null
168,0,3,null,null
169,0,3,null,null
170,60,3,COL,?哥倫比亞
171,0,3,null,null
172,0,3,null,null
173,0,3,null,null
174,0,3,COM,?葛摩
175,0,3,MYT,?馬約特
176,0,3,null,null
177,0,3,null,null
178,0,3,COG,?剛果
179,0,3,null,null
180,0,3,COD,?民主剛果
181,0,3,null,null
182,0,3,null,null
183,0,3,null,null
184,0,3,COK,?庫克群島
185,0,3,null,null
186,0,3,null,null
187,0,3,null,null
188,60,3,CRI,?哥斯大黎加
189,0,3,null,null
190,0,3,null,null
191,0,3,HRV,?克羅埃西亞
192,0,3,CUB,?古巴
193,0,3,null,null
194,0,3,null,null
195,0,3,null,null
196,0,3,CYP,?賽普勒斯
197,0,3,null,null
198,0,3,null,null
199,0,3,null,null
200,0,3,null,null
201,0,3,null,null
202,0,3,null,null
203,50,3,CZE,?捷克
204,0,3,BEN,?貝南
205,0,3,null,null
206,0,3,null,null
207,0,3,null,null
208,50,3,DNK,?丹麥
209,0,3,null,null
210,0,3,null,null
211,0,3,null,null
212,0,3,DMA,?多米尼克
213,0,3,null,null
214,60,3,DOM,?多明尼加
215,0,3,null,null
216,0,3,null,null
217,0,3,null,null
218,60,3,ECU,?厄瓜多
219,0,3,null,null
220,0,3,null,null
221,0,3,null,null
222,60,3,SLV,?薩爾瓦多
223,0,3,null,null
224,0,3,null,null
225,0,3,null,null
226,50,3,GNQ,?赤道幾內亞
227,0,3,null,null
228,0,3,null,null
